Username,Timestamp,Judul,Harga,Status
banda,waktunya masih kosong,Madilog,95000,Menunggu Persetujuan
banda,waktunya masih kosong,Sang Alkemis,55000,Menunggu Persetujuan
banda,waktunya masih kosong,Zarathustra,66500,Ditolak
banda,waktunya masih kosong,Sang Alkemis,55000,Menunggu Persetujuan
banda,waktunya masih kosong,Sang Alkemis,55000,Disetujui
banda,waktunya masih kosong,Zarathustra,66500,Menunggu Persetujuan
banda,waktunya masih kosong,Madilog,95000,Menunggu Persetujuan
banda,waktunya masih kosong,Sang Alkemis,55000,Menunggu Persetujuan
banda,waktunya masih kosong,Sang Alkemis,55000,Menunggu Persetujuan
banda,waktunya masih kosong,Sang Alkemis,55000,Menunggu Persetujuan
banda,waktunya masih kosong,Madilog,95000,Menunggu Persetujuan
banda,waktunya masih kosong,Madilog,95000,Menunggu Persetujuan
Nv@mail.com,waktunya masih kosong,Madilog,95000,Menunggu Persetujuan
